"参数","中文名","是否等效缩减","原始值","等效值","等效公式","公式参数说明"
"TP","张量并行度","否","8","8","TP_eq = TP","TP 对单层内权重矩阵做列/行切分，改变 TP 会改变计算图。等效推导中保持不变，确保每层内部计算和通信拓扑一致。"
"PP","流水线并行度","是","8","3","PP_eq = min(PP-1， 3)","PP 将不同层分布到不同设备。等效组网只需保留首/中/尾三种 PP stage 的代表性样本。PP-1 保证至少保留首尾边界语义，上限 3 覆盖 embedding+中间+lm_head。"
"DP","数据并行度","是","8","2","DP_eq = 2 (if DP >= 2) else 1","DP大于等于2时，等效DP直接取2，否则取1"
"EP","专家并行度 (MoE)","否","8","8","EP_eq = EP","EP 按 token-to-expert 路由切分，决定每个 token 被分发到哪些专家。EP 改变会直接影响 token- expert 映射和通信拓扑。等效推导中保持 EP 不变，确保路由行为和专家分布与原始模型一致。"
"L","模型总层数","是","24","9","L_eq = (L/PP) × PP_eq","L/PP如果非整数需要向下取整，核心不变量：每 PP stage 的层数 L/PP 保持不变。原始 L/PP=24/8=3 层/stage，等效 9/3=3 层/stage。保证 HBM(∝L/PP) 和 TP 通信(∝L/PP) 在等效前后精确相等。"
"H","隐藏维度 (d_model)","否","4096","4096","H_eq = H","隐藏维度决定 Attention/QKV/FFN 的矩阵形状。改变 H 会彻底改变模型架构，等效推导中必须保持。"
"A","注意力头数","否","32","32","A_eq = A","注意力头数与 H 配对（d_head = H/A），改变 A 会影响 Attention 计算图。等效推导中保持。"
"d_ffn","FFN 隐藏维度","否","14336","14336","dff_eq = dff","FFN 中间维度决定前馈网络的计算量和参数量。等效推导中保持，避免改变单层计算特征。"
"V","词表大小","否","32000","32000","V_eq = V","词表大小决定 Embedding/LM-Head 层的参数量和首尾 PP 的额外 HBM。等效推导中保持，确保首尾 PP 的额外负载不变。"
"S","序列长度","否","2048","2048","S_eq = S","序列长度决定 Attention 计算量 (∝S²) 和激活值大小。等效推导中保持，避免改变 Attention 部分的计算模式。"
"B","全局批次大小","是","32","8","B_eq = B × DP_eq/DP","补偿 DP 缩减：DP 从 8→2（缩小 4×），每卡数据量变大 4×。B_eq 同步缩小使 FLOPs 中 B/DP 项保持 32/8=8/2=4，单卡计算量数学等价。B_eq 只影响 FLOPs 公式。"
"b","微批次大小","否","4","4","b_eq = b","微批次大小决定 TP/PP 通信量（∝b）。等效推导中保持，确保 TP/PP 通信在公式形式层面等效。"
"E","每层专家数","否","8","8","E_eq = E","MoE 层中每层的专家总数。决定 MoE HBM 中的 E·H·F_expert 项。等效推导中保持，避免改变单卡 MoE 显存模型。"
"K","Top-K 激活专家数","否","2","2","K_eq = K","每个 token 激活的专家数。决定 MoE FLOPs(∝K) 和 EP 通信流量(∝K)。等效推导中保持，确保单 token 计算路径不变。"
"L_moe","MoE 层数","是","16","16","L_moe_eq = L_eq - (L - L_moe)","等效后的moe层数等于等效后的模型层数减去原始模型层数与原始的moe层之差"
"F_expert","专家 FFN 隐藏维度","否","2048","2048","F_expert_eq = F_expert","单个 MoE 专家 FFN 的中间维度。决定专家计算量(∝F_expert)和参数量。等效推导中保持，不改变单专家特征。"
"shared","共享专家开关","否","false","false","shared_eq = shared","是否启用共享专家（如 DeepSeek-V3）。共享专家的 FLOPs 和 HBM 计算与普通专家类似，等效推导中保持配置不变。"
"TP_e","专家内部 TP","否","1","1","TP_e_eq = TP_e","单个专家内部的张量并行度。出现在 MoE HBM 分母 (EP·TP_e) 中。等效推导中保持，避免改变专家权重切分方式。"
